Timestamp,Tweet,username,hashtags,followers_count
2020-04-06 21:04:53,b'@ICC #DeanElgar ($1) --&gt; Opener\n#RohitSharma ($1) --&gt; Opener\n#SteveSmith ($6) --&gt; Middle Order\n#BenStokes ($4) --&gt;\xe2\x80\xa6 https://t.co/GaMjlIw7Bp',b'CricketSaish237',"['DeanElgar', 'RohitSharma', 'SteveSmith', 'BenStokes']",150
2020-04-06 17:14:21,b'RT @YahooCricket: And the best ODI finisher from your country is.......?\n\n#cricket #glennmaxwell #BenStokes #DavidMiller #ODI #YahooCricket\xe2\x80\xa6',b'CricketFanatik',"['cricket', 'glennmaxwell', 'BenStokes', 'DavidMiller', 'ODI', 'YahooCricket']",79
2020-04-06 14:47:58,b'Poll 18\n\nCricket - Your favourite venue among below to watch a game live? \n\n#Quarantine #Cricket #ViratKohli\xe2\x80\xa6 https://t.co/mEPrQYkunx',b'Random_Tweets55',"['Quarantine', 'Cricket', 'ViratKohli']",8
2020-04-06 13:58:54,"b'Ben Stokes Takes Part in Virtual Formula 1 Grand Prix, Finishes Last on Debut\n#BenStokes #VirtualGP #F1\xe2\x80\xa6 https://t.co/V07c87W2QU'",b'latestly',"['BenStokes', 'VirtualGP', 'F1']",57694
2020-04-06 12:54:57,b'@thebharatarmy @msdhoni @imVkohli @ICC @CricketAus @yuzi_chahal @hardikpandya7 @benstokes38 @TheBarmyArmy\xe2\x80\xa6 https://t.co/UXFvnkheM3',b'Tuser1998',[],85
2020-04-06 12:41:06,b'RT @republic: Ben Stokes spins in Virtual GP to finish last while Charles Leclerc wins #F1 #VirtualGP #BenStokes #CharlesLeclerc https://t.\xe2\x80\xa6',b'mohitsmartlove',"['F1', 'VirtualGP', 'BenStokes', 'CharlesLeclerc']",1041
2020-04-06 12:40:52,b'Ben Stokes spins in Virtual GP to finish last while Charles Leclerc wins #F1 #VirtualGP #BenStokes #CharlesLeclerc https://t.co/sZB3fMtrCc',b'republic',"['F1', 'VirtualGP', 'BenStokes', 'CharlesLeclerc']",919590
2020-04-06 12:30:03,b'@liam628 Did Really Plunkett For A Boundary No Slip Fielding For This #deliveroo #BenStokes #F1Esports #SriLanka\xe2\x80\xa6 https://t.co/8sHTSrCKOd',b'AnthonysSquires',"['deliveroo', 'BenStokes', 'F1Esports', 'SriLanka']",5331
2020-04-06 12:00:00,b'And the best ODI finisher from your country is.......?\n\n#cricket #glennmaxwell #BenStokes #DavidMiller #ODI\xe2\x80\xa6 https://t.co/vOiUeKpmZn',b'YahooCricket',"['cricket', 'glennmaxwell', 'BenStokes', 'DavidMiller', 'ODI']",74664
2020-04-06 04:30:50,b'@OmarAbdullah No. He was released from house arrest few days back.\n\n#Benstokes',b'RogueTraderr',['Benstokes'],28
2020-04-05 20:02:24,"b'RT @TheCricketWire: @ICC @benstokes38 @F1 \xf0\x9f\x8f\x8f\n\nBen Stokes takes on 5 F1 drivers, including Ferrari\xe2\x80\x99s Charles Leclerc, in the sport\xe2\x80\x99s 2nd virt\xe2\x80\xa6'",b'SW_SportsWord',[],1317
2020-04-05 19:23:38,"b'RT @TheCricketWire: @ICC @benstokes38 @F1 \xf0\x9f\x8f\x8f\n\nBen Stokes takes on 5 F1 drivers, including Ferrari\xe2\x80\x99s Charles Leclerc, in the sport\xe2\x80\x99s 2nd virt\xe2\x80\xa6'",b'TheCricketWire',[],132
2020-04-05 19:18:16,"b'RT @TheCricketWire: @ICC @benstokes38 @F1 \xf0\x9f\x8f\x8f\n\nBen Stokes takes on 5 F1 drivers, including Ferrari\xe2\x80\x99s Charles Leclerc, in the sport\xe2\x80\x99s 2nd virt\xe2\x80\xa6'",b'f1fanview',[],1384
2020-04-05 19:15:17,"b'@ICC @benstokes38 @F1 \xf0\x9f\x8f\x8f\n\nBen Stokes takes on 5 F1 drivers, including Ferrari\xe2\x80\x99s Charles Leclerc, in the sport\xe2\x80\x99s 2nd\xe2\x80\xa6 https://t.co/dVQXmhslb9'",b'TheCricketWire',[],132
2020-04-05 15:57:52,"b'@englandcricket World Cup 2019... just had everything... bat, ball and field #extraordinary #cricket #BenStokes #JofraArcher'",b'SocialM79783862',"['extraordinary', 'cricket', 'BenStokes', 'JofraArcher']",4
2020-04-05 14:16:30,"b'Why some countries are still buying from China. And, if China relies on cheap labour then how a community will grow\xe2\x80\xa6 https://t.co/Nsp9Z86HmH'",b'waterlater',[],59
2020-04-05 03:40:03,b'RT @jkd18: @TheAhmedShariff This. This is the crap my taxes are subsizing #BenStokes #ShutDownJNU #JNU #Shame \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac https://t.co/qPLJ8hzQKH',b'iamcoolindian',"['BenStokes', 'ShutDownJNU', 'JNU', 'Shame']",87
2020-04-05 03:37:32,b'RT @jkd18: @TheAhmedShariff This. This is the crap my taxes are subsizing #BenStokes #ShutDownJNU #JNU #Shame \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac https://t.co/qPLJ8hzQKH',b'YoloYadav',"['BenStokes', 'ShutDownJNU', 'JNU', 'Shame']",90
