Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 21:33:04,b'RT @durfiteymun: Amirrrrr\xe2\x80\x99s first ball beauty \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d #PAKvNZ #NZvPAK #CWC19 https://t.co/rQmIa6bPcn',b'SabukAfridi',"['PAKvNZ', 'NZvPAK', 'CWC19']",1832
2020-04-08 19:47:26,b'We are going to treat this Sunday like #CWC19 Final day all over again. Going to watch every ball on @SkyCricket.\xe2\x80\xa6 https://t.co/beVbaOZuvP',b'SkidRowOnSea',['CWC19'],492
2020-04-08 18:34:53,"b'RT @cricketworldcup: Happy birthday, @iShaheenAfridi \n\nDo you remember his \xf0\x9f\x94\xa5 spell against Bangladesh from #CWC19? https://t.co/StWpLIExoq'",b'MBashir48666504',['CWC19'],43
2020-04-08 16:58:20,"b""RT @ESPNcricinfo: In an extract from the @WisdenAlmanack, England's World Cup XI look back at the thrilling finish of the #CWC19 final at L\xe2\x80\xa6""",b'CricketFanatik',['CWC19'],79
2020-04-08 16:49:57,b'RT @cricketworldcup: Who here can relate to Brendon McCullum? \xf0\x9f\x92\x94 \n\n#CWC19\n\nhttps://t.co/GMACLrxLT8',b'affaq_here',['CWC19'],2
2020-04-08 16:38:23,b'RT @ViratKohliFC: [MORE PICS]: Captain @imVkohli interacts with captains of all the other participating teams in the World Cup! #CWC19 http\xe2\x80\xa6',b'_sajith07',['CWC19'],0
2020-04-08 16:38:21,b'RT @ViratKohliFC: [PICS]: Captain @imVkohli interacts with captains of all the other participating teams in the World Cup! #CWC19 https://t\xe2\x80\xa6',b'_sajith07',['CWC19'],0
2020-04-08 16:36:53,b'RT @imVkohli: Next stop London. \xf0\x9f\x9a\x8c \xe2\x9c\x8c\xf0\x9f\x8f\xbc #travelday #CWC19 https://t.co/lW0n3i30es',b'_sajith07',"['travelday', 'CWC19']",0
2020-04-08 16:36:10,"b'RT @BCCI: ""We were motivated to win the game against Australia"" - @imVkohli #TeamIndia #INDvAUS #CWC19 \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/EYMPwjd1Xf'",b'_sajith07',"['TeamIndia', 'INDvAUS', 'CWC19']",0
2020-04-08 16:24:27,"b""RT @ESPNcricinfo: In an extract from the @WisdenAlmanack, England's World Cup XI look back at the thrilling finish of the #CWC19 final at L\xe2\x80\xa6""",b'ayaz_khan007',['CWC19'],2898
