Timestamp,Tweet,username,hashtags,followers_count
2020-04-07 17:09:37,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'Malik15106032',[],403
2020-04-07 13:07:49,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'Abdullahkhaan44',[],63
2020-04-07 09:49:32,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'uaccount56',[],45
2020-04-07 03:47:29,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'hanjra_khan',[],47
2020-04-07 02:53:06,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'kashi_mahr',[],798
2020-04-06 22:18:32,"b""RT @Saqlain_Mushtaq: It's been an amazing journey for me in this World cup,I feel so proud being a part of this Champion side @englandcrick\xe2\x80\xa6""",b'HarisKoshur',[],5465
2020-04-05 14:41:36,b'RT @The_NawazJutt: Sensational 7 weeks ended with sensational 12 balls. \nBest World Cup final ever\xf0\x9f\x98\x8d\nHard luck black_caps.\n#CWC19Final',b'MubasherRathOr3',['CWC19Final'],4183
2020-04-05 01:48:11,b'RT @Samiya97: My grandma reaction when England won \xf0\x9f\x98\x82 #CWC19Final #CricketWorldCupFinal https://t.co/ahKuxQmhJD',b'Samiya97',"['CWC19Final', 'CricketWorldCupFinal']",551
2020-04-03 14:28:03,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'cricketcoachin5',[],3
2020-04-03 10:14:04,b'RT @IManish311: Greatest mistake Kane Williamson did in this world cup is by giving Super over to @trent_boult instead of man in form Locki\xe2\x80\xa6',b'150pluskph',[],428
2020-04-03 10:05:54,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'Land_Captain',[],535
2020-04-03 09:53:27,b'#AskSmriti @mandhana_smriti \nHow you describe #CWC19Final',b'Sweetesh7',"['AskSmriti', 'CWC19Final']",1039
2020-04-03 09:03:06,"b""RT @alanroderick: WTFFFFFFFFFFFFFFFFFFFFFFFFF (maybe not the cleanest match report I've ever written) https://t.co/thYsjO21Nr #CWC19Final #\xe2\x80\xa6""",b'DKurwai',['CWC19Final'],149
2020-04-03 07:09:33,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'pk_kapil',[],46
2020-04-02 17:44:50,"b'RT @cricketworldcup: Relive it all, over and over again. \n\n#CWC19Final | #CWC19\n\nhttps://t.co/EM1gzNjDoH'",b'shoeburger',"['CWC19Final', 'CWC19']",643
2020-04-02 17:04:22,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'charlie_doctor',[],0
2020-04-02 11:50:55,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'paulheseltine94',[],412
2020-04-02 09:32:46,b'RT @ICC: The moment the World Cup was won \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\n\n#WeAreEngland | #CWC19 | #CWC19Final https://t.co/Vt8onfi9hU',b'onionfattwoy',"['WeAreEngland', 'CWC19', 'CWC19Final']",55
2020-04-01 13:53:10,b'RT @BenChilwell: Remote is getting peppered\xf0\x9f\x98\x82 #Wimbeldon #CWC19Final',b'NishaPuri2019',"['Wimbeldon', 'CWC19Final']",42
