Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 19:16:56,"b""RT @cricbuzz: . @bhogleharsha lists out five significant chapters in @SunRisers \n's IPL journey. What according to you has been the definin\xe2\x80\xa6""",b'Raju1926',[],588
2020-04-08 18:16:01,b'Check out: @davidwarner31 throwback video imitating Ravindra Jadeja\xe2\x80\x99s sword celebration\n  \n#AustralianCricketer\xe2\x80\xa6 https://t.co/YiSWGq9plJ',b'iwmbuzz',['AustralianCricketer'],6332
2020-04-08 16:57:40,"b'#cricket #CricketvsCoronavirus #IPL @davidwarner31 Copies @imjadeja #sword Celebration in #Throwback Video, Asks Fa\xe2\x80\xa6 https://t.co/317JD6h7Qm'",b'indiacom',"['cricket', 'CricketvsCoronavirus', 'IPL', 'sword', 'Throwback']",10513
2020-04-08 16:56:37,"b'#cricket #CricketvsCoronavirus #IPL @davidwarner31 Copies @imjadeja #sword Celebration in #Throwback Video, Asks Fa\xe2\x80\xa6 https://t.co/byuOjtgiza'",b'cricket_country',"['cricket', 'CricketvsCoronavirus', 'IPL', 'sword', 'Throwback']",38738
2020-04-08 15:00:00,b'David Warner Gives His Daughter a Ride at Home Amid COVID-19 Lockdown (Watch Video)\n\nhttps://t.co/nEiqv7pYGh\xe2\x80\xa6 https://t.co/3QhTJ27OY7',b'YahooCricket',[],74656
2020-04-08 13:00:00,"b'David Warner, SRH Captain, Replicates Ravindra Jadeja\xe2\x80\x99s Sword-Celebration in This Throwback Video, Asks Fans to Giv\xe2\x80\xa6 https://t.co/0kiaBtGZNS'",b'YahooCricket',[],74656
2020-04-08 12:49:21,"b'RT @ITGDsports: ""Do you think I\xe2\x80\x99ve got #RavindraJadeja covered for the sword??"" #DavidWarner asked the fans.\n\n#IPL2020 #Cricketnews #TeamIn\xe2\x80\xa6'",b'sumitgurjarP',"['RavindraJadeja', 'DavidWarner', 'IPL2020', 'Cricketnews']",1356
2020-04-08 12:44:02,"b'RT @ITGDsports: ""Do you think I\xe2\x80\x99ve got #RavindraJadeja covered for the sword??"" #DavidWarner asked the fans.\n\n#IPL2020 #Cricketnews #TeamIn\xe2\x80\xa6'",b'IndiaTodayFLASH',"['RavindraJadeja', 'DavidWarner', 'IPL2020', 'Cricketnews']",1120441
2020-04-08 12:43:28,"b'RT @ITGDsports: ""Do you think I\xe2\x80\x99ve got #RavindraJadeja covered for the sword??"" #DavidWarner asked the fans.\n\n#IPL2020 #Cricketnews #TeamIn\xe2\x80\xa6'",b'IndiaToday',"['RavindraJadeja', 'DavidWarner', 'IPL2020', 'Cricketnews']",5286027
2020-04-08 12:39:44,"b'""Do you think I\xe2\x80\x99ve got #RavindraJadeja covered for the sword??"" #DavidWarner asked the fans.\n\n#IPL2020 #Cricketnews\xe2\x80\xa6 https://t.co/LqjBfWo87a'",b'ITGDsports',"['RavindraJadeja', 'DavidWarner', 'IPL2020', 'Cricketnews']",5580
2020-04-08 10:05:39,"b'David Warner, SRH Captain, Replicates Ravindra Jadeja\xe2\x80\x99s Sword-Celebration in This Throwback Video, Asks Fans to Giv\xe2\x80\xa6 https://t.co/YWSZA0IwmS'",b'latestly',[],57831
2020-04-08 08:51:40,"b'RT @KOHLICULTONE8: *Most times scoring 500+ runs in an IPL Season*\n\n5 - Virat Kohli (2011, 2013, 2015, 2016, 2018)\n\n5 - David Warner (2014,\xe2\x80\xa6'",b'SrAbuBakr',[],178
2020-04-08 08:02:56,b'RT @CricketNDTV: #DavidWarner shared a throwback video about a shoot for #SunRisersHyderabad where he is wielding the bat like a sword\n\nhtt\xe2\x80\xa6',b'AVINASH49465394',"['DavidWarner', 'SunRisersHyderabad']",530
2020-04-08 08:00:26,b'RT @CricketNDTV: #DavidWarner shared a throwback video about a shoot for #SunRisersHyderabad where he is wielding the bat like a sword\n\nhtt\xe2\x80\xa6',b'Sports_NDTV',"['DavidWarner', 'SunRisersHyderabad']",568969
