Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 20:00:18,b'RT @im_ViratKohlifc: Which cricketer has huge fan base ?\n\nLike : #Kohli \n\nRetweet : #Dhoni \n\n#ViratKohli #MSDhoni \n#IPL2020 #VIVOIPL #IPL h\xe2\x80\xa6',b'Injamam51571900',"['Kohli', 'Dhoni', 'ViratKohli', 'MSDhoni', 'IPL2020', 'VIVOIPL', 'IPL']",0
2020-04-08 20:00:02,b'Please vote for us tomorrow evening from 7pm! #IPL #Dhoni #Kohli \nWill tweet again tomorrow night with the link to\xe2\x80\xa6 https://t.co/78KEcKBqkm',b'robtaylor1989',"['IPL', 'Dhoni', 'Kohli']",9793
2020-04-08 19:59:29,b'RT @BCCI_Tweet: You are Big FAN of ?\n\n1). #Tendulkar\n2). #MSDhoni\n3). #Yuvraj\n4). #Dravid\n5). #Rohit\n6). #Kohli\n\n#TeamIndia #BCCI https://t\xe2\x80\xa6',b'farukulislam082',"['Tendulkar', 'MSDhoni', 'Yuvraj', 'Dravid', 'Rohit', 'Kohli', 'TeamIndia', 'BCCI']",229
2020-04-08 19:01:07,b'RT @imAkshaytadvi: @ICC #virushka #Kohli #TeamIndia \n\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\n\nFollow @imAkshaytadvi \xe2\x9c\x94\xe2\x9c\x94 https://t.co/wNFrzjrZFC',b'AkashLostIn18',"['virushka', 'Kohli', 'TeamIndia']",190
2020-04-08 18:41:02,b'RT @amitava0112: Bangladesh cricketers with their activities amidst lockdown https://t.co/qAI9kOr0ki \n\n#dhoni #kohli #virat #viratkohli #ki\xe2\x80\xa6',b'rs_social15',"['dhoni', 'kohli', 'virat', 'viratkohli']",1308
2020-04-08 18:40:55,b'RT @amitava0112: Alec Stewart : the Englishman who initiated the change of role of wicketkeeper-batsman https://t.co/uSdCwV1Kv9 \n\n#dhoni #k\xe2\x80\xa6',b'rs_social15',['dhoni'],1308
2020-04-08 16:43:48,b'RT @amitava0112: Ben Stokes named Wisden Cricketer of the year 2020 https://t.co/ab3nqZRHHe\n\n@benstokes38 #dhoni  #kohli #virat #viratkohli\xe2\x80\xa6',b'cricviewmedia',"['dhoni', 'kohli', 'virat', 'viratkohli']",469
2020-04-08 16:41:46,b'Ben Stokes named Wisden Cricketer of the year 2020 https://t.co/ab3nqZRHHe\n\n@benstokes38 #dhoni  #kohli #virat\xe2\x80\xa6 https://t.co/2X4lp6pebj',b'amitava0112',"['dhoni', 'kohli', 'virat']",80
2020-04-08 16:29:13,"b'RT @Joeys_Chandler: @Kohlistic18 @Goatian1 Why are you comparing man. Everyone knows who is best. ""Wisden leading cricketer of the year"" is\xe2\x80\xa6'",b'Goatian1',[],1264
2020-04-08 16:03:23,"b'@Kohlistic18 @Goatian1 Why are you comparing man. Everyone knows who is best. ""Wisden leading cricketer of the year\xe2\x80\xa6 https://t.co/qWHJYzEY3t'",b'Joeys_Chandler',[],42
