Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 20:52:41,"b'RT @cricbuzz: \xe2\x80\x98Very thin line of respect within current Indian team\xe2\x80\x99, says #YuvrajSingh while talking about key differences within #TeamInd\xe2\x80\xa6'",b'imzubair94',['YuvrajSingh'],604
2020-04-08 20:04:38,"b""It's #RohitSharma vs #SunilNarine in Round 2 of the CricInfo Best T2p Player Award. Choose Rohit Sharma fam!\n@ESPNcricinfo @ImRo45  \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99""",b'sudheesh_45',"['RohitSharma', 'SunilNarine']",34
2020-04-08 19:46:56,"b'RT @TrendsRohit: On This Day In 2015\n\nRohit Sharma Scored A Unbeaten 98*(65) 12 Fours &amp; 4 Sixes Vs KKR At Eden Gardens , Kolkata \xe2\x9d\xa4!!\n\n#Rohi\xe2\x80\xa6'",b'ActorPrabhasFc_',[],309
2020-04-08 19:46:27,b'RT @Im_Ro45FC: Drop your last saved picture of Rohit Sharma \xe2\x98\xba\n\nOkay I\xe2\x80\x99ll start \xf0\x9f\x98\x8c\xe2\x9d\xa4\xef\xb8\x8f\n\n#RohitSharma @ImRo45 https://t.co/vctCIc4vug',b'ActorPrabhasFc_',['RohitSharma'],309
2020-04-08 18:40:55,b'RT @amitava0112: Alec Stewart : the Englishman who initiated the change of role of wicketkeeper-batsman https://t.co/uSdCwV1Kv9 \n\n#dhoni #k\xe2\x80\xa6',b'rs_social15',['dhoni'],1308
2020-04-08 18:34:07,b'RT @WeLoveRohit: Stylish HitMan With Coat Suit \xe2\x9d\xa4\xef\xb8\x8f\n\n#RohitSharma https://t.co/wr8au3lKb3',b'arunsaimj',['RohitSharma'],450
2020-04-08 18:12:46,"b'RT @mi___universe: On This Day In 2015\n\nRohit Sharma Scored A Unbeaten 98*(65) Against KKR At Eden Gardens, Kolkata \xe2\x9d\xa4\n\n#RohitSharma #Mumbai\xe2\x80\xa6'",b'aravindh2552',['RohitSharma'],1245
2020-04-08 18:12:13,"b""RT @dna: 'Got to share dressing room with legends like #ViratKohli, #RohitSharma': #SanjuSamson talks about not regretting time on bench\n\nh\xe2\x80\xa6""",b'RaviVS007',"['ViratKohli', 'RohitSharma', 'SanjuSamson']",87
2020-04-08 18:06:30,"b'RT @cricbuzz: \xe2\x80\x98Very thin line of respect within current Indian team\xe2\x80\x99, says #YuvrajSingh while talking about key differences within #TeamInd\xe2\x80\xa6'",b'Varuni_Y',['YuvrajSingh'],1849
2020-04-08 17:58:24,"b""RT @rhskaafan1: I'm rider \n#RohitSharma \n#ViratKohli https://t.co/8UZgI8IvNX""",b'omsnaik',"['RohitSharma', 'ViratKohli']",366
2020-04-08 17:42:19,"b'RT @pullShot_: On This Day In 2015,\n\nRohit sharma scored unbeaten 98* In 65 balls with 12 fours &amp; 4 Sixes vs KKR at Eden Garden, Kolkata \xf0\x9f\xa4\x98\xe2\x9d\xa4\xe2\x80\xa6'",b'thrivikram45',[],41
2020-04-08 17:37:59,"b'RT @pullShot_: On This Day In 2015,\n\nRohit sharma scored unbeaten 98* In 65 balls with 12 fours &amp; 4 Sixes vs KKR at Eden Garden, Kolkata \xf0\x9f\xa4\x98\xe2\x9d\xa4\xe2\x80\xa6'",b'sathishrohit045',[],95
2020-04-08 17:35:10,"b'RT @cricbuzz: \xe2\x80\x98Very thin line of respect within current Indian team\xe2\x80\x99, says #YuvrajSingh while talking about key differences within #TeamInd\xe2\x80\xa6'",b'ravi201292',['YuvrajSingh'],450
2020-04-08 17:29:59,"b""RT @rhskaafan1: I'm rider \n#RohitSharma \n#ViratKohli https://t.co/8UZgI8IvNX""",b'HOWDYMODIJI',"['RohitSharma', 'ViratKohli']",19
2020-04-08 17:23:52,b'RT @Im_Ro45FC: Drop your last saved picture of Rohit Sharma \xe2\x98\xba\n\nOkay I\xe2\x80\x99ll start \xf0\x9f\x98\x8c\xe2\x9d\xa4\xef\xb8\x8f\n\n#RohitSharma @ImRo45 https://t.co/vctCIc4vug',b'rsk_thala',['RohitSharma'],336
