Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 20:52:41,"b'RT @cricbuzz: \xe2\x80\x98Very thin line of respect within current Indian team\xe2\x80\x99, says #YuvrajSingh while talking about key differences within #TeamInd\xe2\x80\xa6'",b'imzubair94',['YuvrajSingh'],604
2020-04-08 20:26:42,b'RT @nitish1452006: Can you hit a \xe2\x9d\xa4 and a retweet for this man @msdhoni #MSDhoni #Dhoni #TeamIndia !!!\nFollow me \xf0\x9f\x91\x89 @nitish1452006 \xf0\x9f\x91\x88 https://\xe2\x80\xa6',b'Nadashreevs',"['MSDhoni', 'Dhoni', 'TeamIndia']",6
2020-04-08 19:59:29,b'RT @BCCI_Tweet: You are Big FAN of ?\n\n1). #Tendulkar\n2). #MSDhoni\n3). #Yuvraj\n4). #Dravid\n5). #Rohit\n6). #Kohli\n\n#TeamIndia #BCCI https://t\xe2\x80\xa6',b'farukulislam082',"['Tendulkar', 'MSDhoni', 'Yuvraj', 'Dravid', 'Rohit', 'Kohli', 'TeamIndia', 'BCCI']",229
2020-04-08 19:50:25,"b'RT @TrendsSachin: ""It was Sachin Tendulkar\'s idea to send Ms Dhoni ahead of Yuvraj Singh."" -- Virender Sehwag (#WorldCup2011 Final)\n\n@sachi\xe2\x80\xa6'",b'Anamikadipa',['WorldCup2011'],123
2020-04-08 19:01:07,b'RT @imAkshaytadvi: @ICC #virushka #Kohli #TeamIndia \n\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\n\nFollow @imAkshaytadvi \xe2\x9c\x94\xe2\x9c\x94 https://t.co/wNFrzjrZFC',b'AkashLostIn18',"['virushka', 'Kohli', 'TeamIndia']",190
2020-04-08 18:41:02,b'RT @amitava0112: Bangladesh cricketers with their activities amidst lockdown https://t.co/qAI9kOr0ki \n\n#dhoni #kohli #virat #viratkohli #ki\xe2\x80\xa6',b'rs_social15',"['dhoni', 'kohli', 'virat', 'viratkohli']",1308
2020-04-08 18:40:55,b'RT @amitava0112: Alec Stewart : the Englishman who initiated the change of role of wicketkeeper-batsman https://t.co/uSdCwV1Kv9 \n\n#dhoni #k\xe2\x80\xa6',b'rs_social15',['dhoni'],1308
2020-04-08 18:17:25,b'RT @thebharatarmy: \xf0\x9f\x8e\x99Episode 1 of the Bharat Army Podcast will be available soon in Audio &amp; Video format.\n\nBharat Army members debate should\xe2\x80\xa6',b'aakarshan2096',[],174
2020-04-08 18:15:01,b'RT @WCI_Official: #OnThisDay \n\n@ImHarmanpreet led @BCCIWomen in a One Day International game for the very first time against Bangladesh.\xe2\x80\xa6',b'patelSunita1992',['OnThisDay'],58
2020-04-08 18:10:57,b'RT @Troll_Cinema: Pick your favourite kit \xf0\x9f\x98\x85 #TeamIndia https://t.co/SWVGWsFSwC',b'Nithish_vj1419',['TeamIndia'],1611
