Timestamp,Tweet,username,hashtags,followers_count
2020-04-08 21:48:09,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'JWokabi',[],7374
2020-04-08 21:38:25,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'jonathanakd7',[],803
2020-04-08 21:37:00,"b'Twenty20 World Cup Cricket 2020: Testing, isolating players on agenda in bid to keep tournament in Australia this y\xe2\x80\xa6 https://t.co/ov3iCPMbWv'",b'gargleblastergm',[],13
2020-04-08 21:35:20,b'Still mad HIGUAIN missed that opening chance against Germany TEVEZ would have made that #worldcup carlitos3210 g_higuain argentina',b'GinaAvecever',['worldcup'],127
2020-04-08 21:32:35,"b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba A Russian #WorldCup hero \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n\n\xf0\x9f\xa7\xa4 Igor Akinfeev, the man who took the roof off the Luzhniki with this save, turns 3\xe2\x83\xa34\xe2\x83\xa3 t\xe2\x80\xa6'",b'Maria_ILPA',['WorldCup'],737
2020-04-08 21:32:11,"b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba A Russian #WorldCup hero \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n\n\xf0\x9f\xa7\xa4 Igor Akinfeev, the man who took the roof off the Luzhniki with this save, turns 3\xe2\x83\xa34\xe2\x83\xa3 t\xe2\x80\xa6'",b'Duxogen',['WorldCup'],166
2020-04-08 21:29:31,b'RT @robertmdaws: 1954 #WorldCup  #BillyWright leads out #England @Englandkitroom https://t.co/YwpWkHv4k5',b'WiseWallsender',"['WorldCup', 'BillyWright', 'England']",1053
2020-04-08 21:27:05,b'RT @FIFAWorldCup: \xe2\x9c\x85 Joint top-scorer at #SEAGames2019\n\n\xe2\x9c\x85 Signed by Indonesia powerhouse @Persija_Jkt \n\nIt has been a big few months for Osv\xe2\x80\xa6',b'nirwanafbh',['SEAGames2019'],248
2020-04-08 21:25:33,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'Pipe_G87',[],250
2020-04-08 21:24:20,b'#GoaDiary_Sports_News   Ronaldinho out of jail; placed under house arrest in a hotel #WorldCup https://t.co/5xUhnhcME8',b'omgoa_dot_com',"['GoaDiary_Sports_News', 'WorldCup']",1240
2020-04-08 21:21:47,"b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba A Russian #WorldCup hero \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n\n\xf0\x9f\xa7\xa4 Igor Akinfeev, the man who took the roof off the Luzhniki with this save, turns 3\xe2\x83\xa34\xe2\x83\xa3 t\xe2\x80\xa6'",b'dipoolutobi',['WorldCup'],116
2020-04-08 21:20:57,b'RT @FIFAWorldCup: #WorldCupAtHome | Russia 2018 was something special \xf0\x9f\xa4\xa9\n\nRelive a memorable #WorldCup with our packed YouTube playlist \xf0\x9f\x91\x87',b'McCoYPrince',"['WorldCupAtHome', 'WorldCup']",463
2020-04-08 21:17:52,b'RT @FIFAWorldCup: \xe2\x9c\x85 Joint top-scorer at #SEAGames2019\n\n\xe2\x9c\x85 Signed by Indonesia powerhouse @Persija_Jkt \n\nIt has been a big few months for Osv\xe2\x80\xa6',b'Andhika14142577',['SEAGames2019'],0
2020-04-08 21:16:53,"b'RT @FIFAWorldCup: ""He was unstoppable at that tournament. A machine.""\n\n\xf0\x9f\x8e\x82 Grzegorz Lato turns 7\xe2\x83\xa30\xe2\x83\xa3 today \xf0\x9f\xa5\xb3\n\n\xf0\x9f\x87\xb5\xf0\x9f\x87\xb1 Join us in wishing the Poland\xe2\x80\xa6'",b'JacksFF',[],139
2020-04-08 21:15:14,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'baldeonzinho',[],3476
2020-04-08 21:14:49,"b""Classic Premier League, Champions League and International Goals \xe2\x80\xa2 Keeping busy while there's no @IpswichTown acade\xe2\x80\xa6 https://t.co/96R00GEAT3""",b'Jasonsorial86',[],70
2020-04-08 21:14:24,b'RT @Haghighatzohour: Football festival in Russia\nBlood festival in Yemen\n#Yemenwarcup #worldcup #yemen #death_to_Israel https://t.co/hHw7EC\xe2\x80\xa6',b'sarbaz313313',"['Yemenwarcup', 'worldcup', 'yemen', 'death_to_Israel']",3
2020-04-08 21:13:36,"b""The Final #WorldCup qualifier for the #USMNT. Good thing #USA qualified with a match to go. I'd hate to see them ha\xe2\x80\xa6 https://t.co/a1EFmx764O""",b'SantosJAnthony',"['WorldCup', 'USMNT', 'USA']",109
2020-04-08 21:13:17,b'\xf0\x9f\x93\xb2 Tap to shop! \xf0\x9f\x9a\xa8 Cop this throwback 2018 #WorldCup #Belgium Home Kit from #AdidasFootball. \xf0\x9f\x98\x8d Available on\xe2\x80\xa6 https://t.co/cvbdby5TJ6',b'CasaCalcio',"['WorldCup', 'Belgium', 'AdidasFootball']",92
2020-04-08 21:08:07,"b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba A Russian #WorldCup hero \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n\n\xf0\x9f\xa7\xa4 Igor Akinfeev, the man who took the roof off the Luzhniki with this save, turns 3\xe2\x83\xa34\xe2\x83\xa3 t\xe2\x80\xa6'",b'LuisFerMenV',['WorldCup'],86
2020-04-08 20:58:01,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'JavierVasquez85',[],414
2020-04-08 20:56:34,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'udinxxxxxxx',[],504
2020-04-08 20:54:31,b'What a fun day out we had.... \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 very much looking forward to watching many more competitions when time allows! Mak\xe2\x80\xa6 https://t.co/QFUE8xjrE6',b'jodrury62',[],256
2020-04-08 20:43:36,"b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba A Russian #WorldCup hero \xf0\x9f\x87\xb7\xf0\x9f\x87\xba \n\n\xf0\x9f\xa7\xa4 Igor Akinfeev, the man who took the roof off the Luzhniki with this save, turns 3\xe2\x83\xa34\xe2\x83\xa3 t\xe2\x80\xa6'",b'Elmira2110',['WorldCup'],79
2020-04-08 20:40:43,b'RT @robertmdaws: 1958 #WorldCup #BillyWright with #Russia captain #NikitaSimonyan https://t.co/ifruTYaVLU',b'HartleyJnr',"['WorldCup', 'BillyWright', 'Russia', 'NikitaSimonyan']",1802
2020-04-08 20:36:25,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'badrishariff',[],1953
2020-04-08 20:36:04,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'TheofficialBayo',[],173
2020-04-08 20:34:10,"b""RT @FIFAWorldCup: Mazinho was part of the iconic three-men-and-a-baby celebration for @bebeto7's son &amp; future footballer in 1994 \xf0\x9f\x91\xb6\n\nHe didn\xe2\x80\xa6""",b'zayyad_audi',[],916
2020-04-08 20:30:00,b'RT @FIFAWorldCup: \xe2\x9c\x85 Joint top-scorer at #SEAGames2019\n\n\xe2\x9c\x85 Signed by Indonesia powerhouse @Persija_Jkt \n\nIt has been a big few months for Osv\xe2\x80\xa6',b'fahmiardnsyh_',['SEAGames2019'],239
